gameRT,PNash0,PNash1,PNashn,WPNash,effNashF,effNashO,wwGame,effGameF,effGameO,prefFGameF,prefOGameF,predGameF,prefOutcomeO,predGameO,cnssPrefOut,cnssPredOut,prefIneqGame,domGameF,domGameO,indiffF,indiffO,cmndGameF,cmndGameO,nonGameF,nonGameO,prefOutcomeF,prefOutcomeFSpoilt,prefOutcomeOSpoilt,block,expdGameF,expdGameO,outRT,wwChoice
-0.3882,0,-1,1,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.586,1
2.0012999999999996,1,-1,0,0,nan,nan,0,1,-1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,-1,1,1,0,1.9923,0
-1.3469000000000002,0,0,0,0,0.0,1.0,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.3982,0
1.5298,1,-1,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,1,0,2.6812,0
-0.7776000000000001,1,-1,0,0,nan,nan,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,1.2195,1
-0.8660999999999999,0,-1,1,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,1.6793,1
-0.03289999999999993,0,0,0,0,1.0,0.0,0,1,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0.5387,0
0.02350000000000002,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.309,1
0.6629999999999999,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0.5756,0
0.20679999999999998,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.1481,1
-0.32130000000000003,0,-1,1,0,0.5,1.0,1,1,-1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0.1815,1
-0.7665,0,0,0,0,0.0,0.5,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.9131,1
3.1542,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,2.5528,0
-4.2701,0,0,0,0,0.5,-0.5,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.822,1
0.22670000000000012,0,-1,1,0,1.0,0.5,0,-1,1,1,0,0,1,1,0,1,-1,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,1.6184,1
-0.06020000000000003,0,0,0,0,0.5,0.0,1,0,0,-1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1.5234,1
-0.1679,0,0,0,0,-0.5,0.5,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4452,1
0.06230000000000002,-1,1,0,0,nan,nan,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4153,1
-0.5463,0,0,0,0,0.0,1.0,1,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1086,1
-0.05700000000000002,1,-1,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0.3028,0
-11.0368,-1,1,0,0,nan,nan,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0248,1
-1.3862999999999999,0,0,0,0,nan,nan,0,1,-1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1.1324,0
-0.5113,0,0,0,0,0.0,0.0,0,1,-1,0,-1,-1,0,0,-1,-1,2,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0.4488,0
-0.4759,0,0,0,0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,-2,0,0,0,0,0,1,0,0,1,0,-1,1,1,0,0.6834,1
-0.9999000000000002,0,0,0,0,nan,nan,0,-1,1,0,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,2.635,0
